param_learning_rate,param_max_depth,param_feature_fraction_bynode,param_num_leaves,mean_test_score,std_test_score
0.1,-1,0.25,127,0.6328565433875883,0.02229954734036863
0.1,-1,0.25,1024,0.6328565433875883,0.02229954734036863
0.05,-1,0.25,31,0.6292594171332789,0.02300574522190633
0.025,-1,0.25,31,0.6287014260738194,0.03156741168181097
0.05,-1,0.25,1024,0.6279987771283186,0.03112051329532169
0.05,-1,0.25,127,0.6279987771283186,0.03112051329532169
0.1,-1,0.25,31,0.6236635367603801,0.040121137062682784
0.025,-1,0.25,1024,0.617997727864551,0.02577074104817149
0.025,-1,0.25,127,0.617997727864551,0.02577074104817149
0.2,-1,1.0,127,0.6179706380238861,0.028379220687553722
0.2,-1,1.0,1024,0.6179706380238861,0.028379220687553722
0.2,-1,1.0,31,0.615857816743131,0.028123819893238342
0.2,-1,0.25,127,0.6157853442576343,0.015182608294429804
0.2,-1,0.25,1024,0.6157853442576343,0.015182608294429804
0.05,-1,1.0,31,0.6139836098340805,0.021834097300234778
0.1,-1,0.25,15,0.6132860617337892,0.03500345124919234
0.05,-1,1.0,127,0.6129153223876742,0.022216038818711953
0.05,-1,1.0,1024,0.6129153223876742,0.022216038818711953
0.025,-1,0.25,15,0.6101763816920568,0.03372549183116731
0.1,-1,1.0,127,0.6098904780251383,0.019666126402900407
0.1,-1,1.0,1024,0.6098904780251383,0.019666126402900407
0.1,-1,1.0,31,0.6096667023223208,0.01929841959240085
0.025,-1,1.0,1024,0.6090788933237019,0.018008240888796566
0.025,-1,1.0,127,0.6090788933237019,0.018008240888796566
0.025,-1,1.0,31,0.6090265529595983,0.017993480643012257
0.05,-1,1.0,15,0.6082504931362174,0.029868300533881852
0.2,-1,0.25,15,0.6070517000793082,0.028353653289064158
0.1,-1,1.0,15,0.6062219069483219,0.03162347604976449
0.05,-1,0.25,15,0.6057842285037259,0.029978998395667217
0.2,-1,0.25,7,0.6055294647738418,0.02842171357569925
0.3,-1,0.25,1024,0.6054444227846516,0.026673254571875627
0.3,-1,0.25,127,0.6054444227846516,0.026673254571875627
0.025,-1,1.0,15,0.603767786462034,0.02993007017252772
0.3,-1,1.0,1024,0.6035416030742062,0.02558974856233525
0.3,-1,1.0,127,0.6035416030742062,0.02558974856233525
0.3,-1,0.25,31,0.6019852587288598,0.02351310259573728
0.3,-1,1.0,31,0.6017475136640178,0.02667672124194413
0.2,-1,0.25,31,0.5978937478177523,0.021679878411271943
0.05,-1,0.25,7,0.5955662898027599,0.018886909046118908
0.2,-1,1.0,15,0.5943274592873614,0.033348487256120676
0.1,-1,0.25,7,0.588372598709541,0.04200377879724867
0.3,-1,0.25,15,0.5874757975789102,0.027914235140205346
0.025,-1,0.25,7,0.5872681316367536,0.03046055945356457
0.3,-1,1.0,15,0.5856917646749976,0.02401697335344939
0.05,-1,1.0,7,0.5836790124641544,0.026740200036242386
0.1,-1,0.25,3,0.5833826284447566,0.03157729569085642
0.1,-1,1.0,7,0.5833808037898134,0.03299863351096319
0.3,-1,0.25,7,0.5822632867864824,0.028989451111546025
0.025,-1,1.0,7,0.5805562797149014,0.029373636332077607
0.1,-1,1.0,3,0.5785575982729133,0.026626527887880547
0.3,-1,1.0,3,0.5782083756894929,0.04718002204544265
0.3,-1,1.0,7,0.5776764661003483,0.03271479358694664
0.2,-1,1.0,7,0.5774821902705916,0.021865668612414364
0.2,-1,0.25,3,0.5757036184326234,0.04513299306821293
0.2,-1,1.0,3,0.5740219408006633,0.033537824406086394
0.3,-1,0.25,3,0.573061446588665,0.04085449512675523
0.05,-1,1.0,3,0.5726698961121717,0.02957447842784678
0.05,-1,0.25,3,0.5691221500009439,0.03295818688320404
0.025,-1,1.0,3,0.5567077101582912,0.030715933907938243
0.025,-1,0.25,3,0.5473367702761445,0.01915168286341853
