param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,mean_test_score,std_test_score
150,7,5,2,0.607043865085201,0.025718022318389513
150,7,10,4,0.6067420475775105,0.02235079325714437
100,7,5,1,0.6057146313393247,0.028266954933688544
100,7,5,2,0.6055876132988821,0.0239279627557778
50,7,2,2,0.6050873408624787,0.025710473627182262
50,7,5,1,0.6036200005874741,0.03286122711629137
150,7,5,1,0.6027250459912616,0.03138296982247757
50,7,10,4,0.6023200649052023,0.02815876396062256
50,7,2,1,0.6017735610568609,0.03168856883516549
150,7,10,2,0.6009134139050658,0.020148716933271835
100,7,2,2,0.6006779607089938,0.022565112175767003
150,7,2,1,0.5981029380970913,0.021249012772239263
100,5,2,2,0.598045380928156,0.020210888364592484
150,7,10,1,0.5979684820588067,0.024233346351485874
150,5,2,2,0.5970931305007281,0.02513433932612593
100,7,2,4,0.5968692073536703,0.028335198143936736
100,7,5,4,0.5968692073536703,0.028335198143936736
50,7,10,2,0.596771908145119,0.015659872530574284
150,7,2,2,0.5966156391117838,0.026896469496090397
100,5,5,1,0.5963723492000231,0.02019839187253304
150,7,2,4,0.5961946427811629,0.025817044234148667
150,7,5,4,0.5961946427811629,0.025817044234148667
50,7,5,2,0.5961359513438328,0.03275199194407269
50,5,5,1,0.596063724518434,0.020719353315636072
50,7,2,4,0.5958708078666959,0.03306759645818815
50,7,5,4,0.5958708078666959,0.03306759645818815
100,7,10,4,0.5956151287426772,0.028116411566911085
100,7,2,1,0.5950384314464134,0.01996834950448947
50,7,10,1,0.5942102720614761,0.021582052226270104
150,5,5,2,0.5920586349977872,0.015542534619478389
50,5,5,4,0.5919808096341409,0.02003016400518484
50,5,2,4,0.5919808096341409,0.02003016400518484
100,7,10,2,0.5917234507818181,0.01830086434262585
100,7,10,1,0.5912449901253092,0.01942195651829989
50,5,2,2,0.5911525095424397,0.024458096491051833
100,5,10,2,0.590873244338886,0.02109453488493715
150,5,5,1,0.5906198141594621,0.01441984545626
50,5,10,4,0.5905860434133967,0.021811283236179833
50,5,5,2,0.5904975727843118,0.02032140827727026
50,5,10,1,0.5898714278006494,0.025281991841896348
150,5,2,1,0.5897607846544228,0.02449867423361005
100,5,5,2,0.5894867441117585,0.022259163841713274
50,5,2,1,0.5890772536992774,0.027282305171082672
100,5,2,4,0.5872844343556587,0.024295252571805825
100,5,5,4,0.5872844343556587,0.024295252571805825
50,5,10,2,0.5869781160237963,0.025689938400823068
150,5,2,4,0.5866160606962861,0.0247268793079414
150,5,5,4,0.5866160606962861,0.0247268793079414
100,5,10,1,0.586327420209979,0.019075793434021986
150,5,10,4,0.5862181367704516,0.02070829552011444
150,5,10,2,0.586033009565134,0.0187608252074686
100,5,2,1,0.5851988840836378,0.024922771208797007
100,5,10,4,0.5848959223904482,0.02500348867165434
150,5,10,1,0.5848743563446883,0.021621047251184917
50,3,2,2,0.54525893953902,0.00783573062807851
50,3,2,1,0.5451621584241199,0.007643869572528943
150,3,10,4,0.544718242580122,0.008882750248984536
100,3,5,4,0.5443584257513469,0.018771067005186874
100,3,2,4,0.5443584257513469,0.018771067005186874
50,3,10,4,0.5442367036892207,0.010099298781859152
50,3,5,4,0.5440592041661108,0.009803062347637398
50,3,2,4,0.5440592041661108,0.009803062347637398
150,3,2,1,0.5436531963362603,0.014305148868643024
150,3,5,2,0.5435162921627436,0.011764262672041125
150,3,2,2,0.5435162921627436,0.011764262672041125
150,3,10,1,0.5435037278891846,0.011967011564287772
100,3,10,4,0.5434504652527763,0.01734273235329413
100,3,2,1,0.5431415323789761,0.01926434864053383
100,3,2,2,0.5429787809910208,0.019324887838521817
50,3,5,2,0.5429691031366524,0.00975868180825421
50,3,5,1,0.5429691031366524,0.00975868180825421
50,3,10,2,0.54293040534962,0.011238117171543636
50,3,10,1,0.54293040534962,0.011238117171543636
150,3,2,4,0.542828763638614,0.007706830114525119
150,3,5,4,0.542828763638614,0.007706830114525119
150,3,10,2,0.5427259490397848,0.012306102118092488
100,3,5,1,0.5423317694162535,0.020050744374691565
100,3,10,2,0.5422591493024866,0.020073140263982405
100,3,10,1,0.5422377904448534,0.020079922467011672
100,3,5,2,0.5421690180282982,0.020102361336779322
150,3,5,1,0.5415968556098572,0.01274790492247444
