param_learning_rate,param_max_depth,param_subsample,param_colsample_bylevel,param_gamma,mean_test_score,std_test_score
0.1,10,1,0.25,0.2,0.645964479,0.034965899
0.1,20,0.5,1,0,0.645649401,0.030178563
0.1,20,1,0.25,0,0.640683307,0.026324605
0.1,10,1,0.25,0.1,0.638911969,0.02357065
0.1,10,0.5,0.25,0,0.638777193,0.036282169
0.1,20,1,0.25,0.1,0.636373731,0.026997409
0.1,7,1,0.25,0.1,0.636269878,0.040260507
0.1,10,1,0.25,0,0.635985218,0.032437638
0.1,10,1,0.25,0.4,0.633623721,0.021958418
0.1,7,1,0.25,0,0.633315538,0.031276686
0.1,20,0.5,0.25,0.1,0.6332153,0.016236802
0.1,20,1,0.25,0.4,0.633144636,0.032375477
0.1,20,0.5,1,0.4,0.632333163,0.033202772
0.1,20,0.5,1,0.1,0.631745528,0.022803928
0.1,20,1,0.25,0.2,0.6311917,0.029443789
0.1,10,0.5,1,0.4,0.630901999,0.027136207
0.1,20,0.5,0.25,0,0.630354125,0.034376387
0.1,10,0.5,1,0,0.629940095,0.032209921
0.1,20,0.5,1,0.2,0.628247002,0.020133613
0.1,10,0.5,0.25,0.4,0.627469029,0.041461067
0.1,7,1,0.25,0.4,0.625925215,0.020400833
0.1,7,0.5,1,0.2,0.625755805,0.025517828
0.1,10,0.5,1,0.1,0.625048627,0.027728521
0.1,7,1,0.25,0.2,0.624363256,0.029314812
0.1,10,1,1,0.1,0.624237623,0.019780447
0.1,20,1,1,0.2,0.624027124,0.022103971
0.1,10,1,1,0,0.622512386,0.020015433
0.1,7,0.5,1,0,0.622450895,0.037183333
0.1,20,1,0.25,1,0.622402939,0.018257535
0.1,7,0.5,0.25,0,0.622287984,0.020966054
0.1,7,1,1,0,0.622175014,0.031504669
0.1,20,0.5,0.25,0.4,0.622165148,0.021222042
0.1,10,1,1,0.2,0.621654792,0.023481484
0.1,10,1,1,0.4,0.621621513,0.027914817
0.1,20,1,1,0.4,0.621002728,0.022891842
0.1,10,0.5,1,0.2,0.620521701,0.024167986
0.1,7,1,1,0.4,0.620307167,0.027356768
0.1,7,1,1,0.1,0.62018466,0.031086836
0.1,20,1,1,0.1,0.619468306,0.018996997
0.1,7,0.5,0.25,0.4,0.619319068,0.019760391
0.1,7,1,1,0.2,0.618724218,0.023983951
0.1,20,0.5,0.25,0.2,0.618258344,0.029471045
0.1,20,1,1,0,0.618225087,0.015275406
0.1,7,0.5,1,0.4,0.61793854,0.023766924
0.1,10,1,0.25,1,0.617050468,0.024980334
0.1,7,0.5,1,1,0.616725156,0.01968009
0.1,7,0.5,1,0.1,0.616059729,0.023946541
0.1,7,0.5,0.25,0.2,0.614656072,0.035529289
0.1,10,0.5,1,1,0.614302658,0.024776161
0.1,10,0.5,0.25,0.1,0.611089982,0.031290217
0.1,7,0.15,0.25,0.4,0.610045754,0.032897793
0.1,20,0.15,1,0.2,0.608376926,0.051449934
0.1,20,0.5,1,1,0.606664421,0.022621173
0.1,10,0.5,0.25,0.2,0.606258656,0.017816401
0.1,10,0.5,1,2,0.60616097,0.034804517
0.1,7,0.5,0.25,0.1,0.606151976,0.031364718
0.1,3,0.5,1,0,0.60599651,0.033056783
0.1,3,1,0.25,0.4,0.605751872,0.041324635
0.1,10,0.15,0.25,0.2,0.605626004,0.029395109
0.1,7,0.5,0.25,1,0.605608905,0.040620374
0.1,20,0.15,0.25,0.1,0.605347356,0.029896529
0.1,3,0.5,1,0.2,0.605104291,0.030814082
0.1,3,1,0.25,0,0.605027365,0.032849534
0.1,7,0.15,1,0.4,0.604866248,0.04814047
0.1,3,0.5,0.25,0.4,0.604437382,0.041000305
0.1,10,0.15,1,0.1,0.60412863,0.063167815
0.1,3,0.15,1,1,0.603967135,0.029847179
0.1,20,0.15,1,0.4,0.603765907,0.053572418
0.1,3,0.5,1,0.4,0.603581497,0.034920925
0.1,10,0.15,1,0.4,0.603576208,0.046910464
0.1,3,1,0.25,0.1,0.60296084,0.045084839
0.1,10,0.15,0.25,0,0.601768135,0.023791303
0.1,20,0.5,0.25,1,0.601720666,0.029773426
0.1,3,0.5,0.25,0.2,0.601131586,0.041654956
0.1,2,0.5,1,1,0.600901269,0.034370372
0.1,3,0.5,1,0.1,0.600727368,0.031715207
0.1,20,0.15,1,0,0.600281042,0.033768075
0.1,10,0.15,1,0,0.600217639,0.033627373
0.1,20,0.5,1,2,0.599946204,0.031906318
0.1,10,0.5,0.25,1,0.599803459,0.044485442
0.1,3,0.5,0.25,0.1,0.599731141,0.046921393
0.1,3,0.5,1,1,0.599595432,0.032280512
0.1,7,1,0.25,1,0.599323845,0.04456801
0.1,7,0.15,1,0.1,0.59916136,0.057068617
0.1,10,0.15,1,0.2,0.598972409,0.047398646
0.1,10,1,1,1,0.59823047,0.013129034
0.1,7,1,1,1,0.598185425,0.029432162
0.1,3,0.15,1,0.2,0.598030092,0.044559025
0.1,3,0.15,1,0.1,0.597952426,0.043936619
0.1,3,1,0.25,0.2,0.597702327,0.046283112
0.1,7,0.15,0.25,0,0.597610679,0.025486534
0.1,3,0.5,0.25,0,0.597296344,0.041543917
0.1,20,0.15,1,0.1,0.59725984,0.062129633
0.1,7,0.15,1,0,0.597186582,0.049791277
0.1,7,0.15,1,0.2,0.597091169,0.039876317
0.1,2,0.15,1,1,0.596823614,0.042037196
0.1,3,0.15,1,2,0.596591564,0.040575836
0.1,7,0.5,1,2,0.596563765,0.031204557
0.1,2,0.15,1,2,0.5962883,0.037641695
0.1,3,1,1,0,0.596046821,0.036953778
0.1,20,0.15,0.25,0.4,0.595621694,0.034157173
0.1,2,1,0.25,0.2,0.595396056,0.040527411
0.1,2,0.5,1,0.2,0.595345565,0.041966285
0.1,3,0.15,1,0,0.595307226,0.044527675
0.1,10,0.15,1,1,0.595028638,0.05155769
0.1,20,0.15,1,1,0.595028638,0.05155769
0.1,20,1,1,1,0.594862198,0.02226194
0.1,7,0.15,1,1,0.593957299,0.047182215
0.1,3,1,1,0.2,0.593645234,0.03546294
0.1,7,0.15,1,2,0.593105656,0.039979176
0.1,20,0.15,1,2,0.593074359,0.049078678
0.1,10,0.15,1,2,0.593074359,0.049078678
0.1,20,0.15,0.25,0.2,0.592933509,0.024207278
0.1,3,0.15,0.25,0.2,0.592540816,0.038080509
0.1,2,1,0.25,1,0.592276364,0.036990341
0.1,3,1,1,0.4,0.591945491,0.035256555
0.1,10,0.15,0.25,0.4,0.591845413,0.036500945
0.1,3,1,0.25,1,0.591754211,0.035240958
0.1,20,0.15,0.25,0,0.59156623,0.025355331
0.1,2,0.5,1,0,0.591490375,0.040499527
0.1,2,0.15,1,0.4,0.591386446,0.046826262
0.1,3,0.5,0.25,1,0.591213892,0.047606745
0.1,3,0.15,0.25,1,0.59120933,0.042190305
0.1,2,0.5,1,0.4,0.590580926,0.045240167
0.1,10,0.15,0.25,0.1,0.590483836,0.026278274
0.1,3,0.5,1,2,0.590448476,0.03514763
0.1,2,0.15,1,0.1,0.590255502,0.049865437
0.1,2,0.15,0.25,0.4,0.590141777,0.037789332
0.1,2,0.5,0.25,0.2,0.589869011,0.04043056
0.1,3,1,1,0.1,0.589296194,0.038151814
0.1,7,0.15,0.25,1,0.589202307,0.032495784
0.1,2,0.5,0.25,0,0.589076745,0.042172299
0.1,2,0.15,1,0,0.589064554,0.055062426
0.1,20,1,0.25,2,0.58855025,0.030736596
0.1,3,0.15,0.25,0.4,0.588378345,0.025114054
0.1,2,0.5,1,0.1,0.588246525,0.047704009
0.1,2,0.15,1,0.2,0.588054852,0.044852582
0.1,20,0.15,0.25,1,0.587222965,0.043059882
0.1,3,1,1,1,0.5869357,0.035819335
0.1,2,1,0.25,0.4,0.586881814,0.028542527
0.1,7,0.15,0.25,0.1,0.586680677,0.031756478
0.1,7,0.15,0.25,0.2,0.586610748,0.049306675
0.1,3,0.15,0.25,0.1,0.586361609,0.03139435
0.1,2,0.5,1,2,0.585938785,0.044673769
0.1,2,1,0.25,0,0.585913651,0.036960819
0.1,10,0.5,0.25,2,0.585776084,0.04141112
0.1,20,0.5,0.25,2,0.585776084,0.04141112
0.1,10,1,1,2,0.5856438,0.021950952
0.1,2,0.5,0.25,0.1,0.585266328,0.046913282
0.1,2,1,1,0.4,0.585231963,0.044859506
0.1,2,0.5,0.25,0.4,0.584646376,0.039885073
0.1,2,0.15,0.25,0,0.584209903,0.0357722
0.1,3,0.15,1,0.4,0.584101978,0.045422589
0.1,7,1,0.25,2,0.584071112,0.032928369
0.1,10,1,0.25,2,0.583167671,0.032971335
0.1,7,0.5,0.25,2,0.582430935,0.035559234
0.1,3,1,1,2,0.582383425,0.026948805
0.1,7,1,1,2,0.58235522,0.016996183
0.1,2,1,1,0,0.582300872,0.038697277
0.1,2,0.5,0.25,1,0.581801004,0.028880857
0.1,2,1,1,0.1,0.5810629,0.040998179
0.1,2,0.15,0.25,0.2,0.580787187,0.036578297
0.1,10,0.15,0.25,1,0.580727191,0.046984577
0.1,2,1,0.25,0.1,0.580711064,0.043812799
0.1,3,0.5,0.25,2,0.580106513,0.037162667
0.1,20,1,1,2,0.580073364,0.01922424
0.1,2,1,1,0.2,0.576294054,0.042320702
0.1,2,0.15,0.25,0.1,0.576086616,0.035137231
0.1,3,0.15,0.25,0,0.575488823,0.042352729
0.1,2,0.5,0.25,2,0.574736946,0.048923473
0.1,2,0.15,0.25,2,0.574307937,0.039611154
0.1,3,1,0.25,2,0.574291235,0.029218808
0.1,2,1,0.25,2,0.573020073,0.034189169
0.1,2,0.15,0.25,1,0.572667025,0.043768703
0.1,2,1,1,1,0.5679213,0.043701582
0.1,7,0.15,0.25,2,0.56689963,0.033285216
0.1,10,0.15,0.25,2,0.56689963,0.033285216
0.1,20,0.15,0.25,2,0.56689963,0.033285216
0.1,2,1,1,2,0.56595307,0.031104181
0.1,3,0.15,0.25,2,0.56185584,0.02855342
